,0,1
194,"['5', '176']","Dec 28, 2020 at 9:34 PM"
195,"['1', '67']","Dec 28, 2020 at 5:03 PM"
196,"['4', '128']","Dec 28, 2020 at 4:48 PM"
197,"['1', '96']","Dec 27, 2020 at 3:05 PM"
198,"['3', '77']","Dec 27, 2020 at 4:30 AM"
199,"['5', '4000']","Dec 27, 2020 at 12:19 AM"
200,"['6', '2000']","Dec 26, 2020 at 4:32 PM"
201,"['2', '83']","Dec 24, 2020 at 11:41 PM"
202,"['17', '320']","Dec 24, 2020 at 4:21 PM"
203,"['1', '90']","Dec 24, 2020 at 11:55 AM"
204,"['13', '241']","Dec 23, 2020 at 7:45 PM"
205,"['2', '105']","Dec 23, 2020 at 6:20 PM"
206,"['2', '88']","Dec 23, 2020 at 2:38 PM"
207,"['0', '55']","Dec 22, 2020 at 8:57 PM"
208,"['0', '62']","Dec 22, 2020 at 8:50 PM"
209,"['8', '161']","Dec 22, 2020 at 7:46 PM"
210,"['4', '123']","Dec 22, 2020 at 7:35 PM"
211,"['9', '168']","Dec 22, 2020 at 2:17 PM"
212,"['7', '159']","Dec 22, 2020 at 2:11 PM"
213,"['6', '197']","Dec 22, 2020 at 11:55 AM"
214,"['20', '8000']","Dec 22, 2020 at 1:41 AM"
215,"['10', '1000']","Dec 21, 2020 at 9:35 PM"
216,"['0', '58']","Dec 21, 2020 at 1:30 AM"
217,"['4', '99']","Dec 20, 2020 at 12:58 PM"
218,"['5', '150']","Dec 20, 2020 at 2:41 AM"
219,"['14', '254']","Dec 19, 2020 at 1:42 PM"
220,"['8', '187']","Dec 19, 2020 at 12:21 AM"
221,"['4', '88']","Dec 18, 2020 at 2:11 PM"
222,"['7', '105']","Dec 17, 2020 at 9:02 PM"
223,"['3', '138']","Dec 17, 2020 at 2:45 PM"
224,"['4', '495']","Dec 16, 2020 at 2:22 AM"
225,"['4', '97']","Dec 15, 2020 at 7:44 PM"
226,"['6', '167']","Dec 15, 2020 at 4:22 PM"
227,"['3', '96']","Dec 15, 2020 at 7:41 AM"
228,"['8', '217']","Dec 14, 2020 at 8:47 PM"
229,"['5', '165']","Dec 14, 2020 at 8:22 PM"
230,"['5', '167']","Dec 14, 2020 at 2:20 PM"
231,"['4', '155']","Dec 13, 2020 at 7:30 PM"
232,"['2', '82']","Dec 13, 2020 at 7:25 PM"
233,"['12', '538']","Dec 13, 2020 at 12:09 AM"
234,"['8', '183']","Dec 12, 2020 at 11:50 AM"
235,"['1', '84']","Dec 11, 2020 at 8:57 PM"
236,"['1', '87']","Dec 11, 2020 at 3:46 PM"
237,"['5', '408']","Dec 11, 2020 at 3:21 PM"
238,"['35', '1000']","Dec 11, 2020 at 12:35 PM"
239,"['3', '163']","Dec 11, 2020 at 12:32 PM"
240,"['0', '57']","Dec 11, 2020 at 3:37 AM"
241,"['4', '162']","Dec 10, 2020 at 7:12 PM"
242,"['2', '69']","Dec 10, 2020 at 5:17 PM"
243,"['8', '251']","Dec 10, 2020 at 11:55 AM"
244,"['0', '126']","Dec 10, 2020 at 9:18 AM"
245,"['6', '145']","Dec 10, 2020 at 6:51 AM"
246,"['11', '296']","Dec 10, 2020 at 12:31 AM"
247,"['6', '172']","Dec 9, 2020 at 5:16 PM"
248,"['2', '149']","Dec 9, 2020 at 5:03 PM"
249,"['14', '374']","Dec 9, 2020 at 3:13 AM"
250,"['7', '127']","Dec 8, 2020 at 6:52 PM"
251,"['0', '36']","Dec 8, 2020 at 6:02 PM"
252,"['28', '600']","Dec 7, 2020 at 7:27 PM"
253,"['8', '238']","Dec 7, 2020 at 2:54 PM"
254,"['18', '297']","Dec 7, 2020 at 10:45 AM"
255,"['1', '74']","Dec 7, 2020 at 10:43 AM"
256,"['11', '312']","Dec 7, 2020 at 10:41 AM"
257,"['17', '276']","Dec 6, 2020 at 11:59 PM"
258,"['7', '167']","Dec 6, 2020 at 10:01 PM"
